id,nombre,apellido,email,edad,ciudad
1,Hermione,Granger,hermione.granger@hogwarts.edu,18,Hogsmeade
2,Peter,Parker,peter.parker@dailybugle.com,25,Queens
3,Leia,Organa,leia.organa@rebellion.org,29,Alderaan
4,Sherlock,Holmes,sherlock.holmes@221bbaker.street,40,London
5,Diana,Prince,diana.prince@themiscira.gov,1000,Themyscira
6,Katniss,Everdeen,katniss.everdeen@district12.gov,17,District 12
7,Tony,Stark,tony.stark@starkindustries.com,45,New York
8,Elizabeth,Bennet,elizabeth.bennet@netherfield.org,20,Longbourn
9,Frodo,Baggins,frodo.baggins@shire.me,50,The Shire
10,Neo,Anderson,neo.anderson@matrix.com,30,Unknown
